Step;VehicleID;X_Pos;Y_Pos;Speed_ms;Angle
49;veh2;60.55;37.97;0.00;190.30
49;veh3;145.76;0.73;6.28;74.22
50;ourVehicle1;66.06;67.50;0.20;194.21
50;ourVehicle10;25.70;36.90;5.01;105.41
50;ourVehicle12;149.10;84.06;11.81;111.55
50;ourVehicle13;63.23;52.73;0.00;190.30
50;ourVehicle15;94.21;105.72;4.75;285.54
50;ourVehicle17;41.01;32.27;0.05;106.84
50;ourVehicle22;33.72;34.48;0.24;106.84
50;ourVehicle23;65.81;30.19;2.25;271.87
50;ourVehicle29;110.98;100.73;8.08;286.99
50;ourVehicle3;73.57;97.12;5.60;193.27
50;ourVehicle30;55.62;29.01;0.00;98.38
50;ourVehicle31;85.04;25.08;11.23;289.57
50;ourVehicle34;112.92;14.46;11.44;292.34
50;ourVehicle38;48.20;30.11;0.00;106.70
50;ourVehicle4;70.28;107.93;4.62;99.64
50;ourVehicle47;54.67;113.84;11.07;279.64
50;ourVehicle52;61.89;45.35;0.00;190.30
50;ourVehicle6;106.32;13.67;14.20;110.86
50;ourVehicle65;133.44;2.57;9.20;112.33
50;ourVehicle66;19.36;41.89;13.92;283.68
50;ourVehicle7;56.45;110.28;5.68;99.64
50;ourVehicle78;132.46;6.43;10.09;292.34
50;ourVehicle81;64.57;60.12;0.01;190.30
50;ourVehicle83;80.55;108.09;4.43;271.33
50;ourVehicle86;130.30;94.83;12.54;290.46
50;ourVehicle9;77.31;101.87;0.00;5.39
50;veh0;68.11;75.56;3.98;194.21
50;veh1;173.44;74.45;7.77;111.55
50;veh2;60.55;37.97;0.00;190.30
50;veh3;148.43;5.92;5.84;26.20
51;ourVehicle1;66.06;67.47;0.03;194.21
51;ourVehicle10;26.28;36.73;0.60;105.84
51;ourVehicle12;159.36;80.01;11.02;111.55
51;ourVehicle13;63.23;52.73;0.00;190.30
51;ourVehicle15;89.61;106.91;4.75;284.46
51;ourVehicle17;41.01;32.27;0.01;106.84
51;ourVehicle22;33.77;34.46;0.06;106.84
51;ourVehicle23;67.50;27.61;3.71;169.66
51;ourVehicle29;105.07;102.54;6.18;286.99
51;ourVehicle3;71.63;89.49;7.87;194.21
51;ourVehicle30;55.62;29.01;0.00;98.38
51;ourVehicle31;78.01;27.52;7.44;289.12
51;ourVehicle34;100.97;19.14;12.84;290.84
51;ourVehicle38;48.20;30.11;0.00;106.70
51;ourVehicle4;70.31;107.93;0.03;99.64
51;ourVehicle47;41.45;116.08;13.40;279.64
51;ourVehicle52;61.89;45.35;0.00;190.30
51;ourVehicle6;118.69;8.63;13.36;112.33
51;ourVehicle65;141.31;-0.53;8.46;110.93
51;ourVehicle66;3.45;45.64;16.35;283.28
51;ourVehicle7;61.63;109.40;5.26;99.64
51;ourVehicle78;121.58;10.90;11.76;292.34
51;ourVehicle81;64.57;60.11;0.00;190.30
51;ourVehicle83;76.11;104.98;5.60;232.85
51;ourVehicle86;121.38;97.55;9.32;286.99
51;ourVehicle9;77.31;101.87;0.00;5.39
51;veh0;67.93;74.86;0.73;194.21
51;veh1;175.73;72.51;3.27;123.46
51;veh2;60.55;37.97;0.00;190.30
51;veh3;151.74;13.05;7.87;24.93
52;ourVehicle1;66.06;67.47;0.00;194.21
52;ourVehicle10;26.58;36.64;0.32;106.06
52;ourVehicle12;165.43;77.62;6.52;111.55
52;ourVehicle13;63.23;52.73;0.00;190.30
52;ourVehicle15;84.25;108.24;5.52;283.87
52;ourVehicle17;41.02;32.27;0.00;106.84
52;ourVehicle22;33.82;34.45;0.04;106.84
52;ourVehicle23;73.34;25.75;6.13;107.72
52;ourVehicle29;99.35;104.29;5.98;286.99
52;ourVehicle3;70.40;84.62;5.02;194.21
52;ourVehicle30;55.62;29.01;0.00;98.38
52;ourVehicle31;71.84;29.61;6.51;288.65
52;ourVehicle34;91.31;22.81;10.34;290.84
52;ourVehicle38;48.20;30.11;0.00;106.70
